,Name,Latitude,Longitude,City,,,,
0,Sampath Vinayaka Temple Road,83.3127136,17.7245502,Visakhapatnam,,done,done,
1,Sri Varahalakshmi Narasimha Swamy Vari Devasthanam,83.2505322,17.7663525,Visakhapatnam,,done,,
2,Ramakrishna Beach,83.3236579,17.7141618,Visakhapatnam,,done,,
3,Rushikonda Beach,83.3851154,17.7825201,Visakhapatnam,,,done,TA
4,Bheemili Beach,83.455852,17.8902533,Visakhapatnam,,done,,
5,Kailasagiri,83.3418016,17.7492105,Visakhapatnam,,,,TA
,,,,,,,,
,,,,,,,,
8,"Sri Venkateswara Swamy Devalayam, TTD",83.3771589,17.778897,Visakhapatnam,,,,
9,Rama Naidu Studios,83.3974719,17.8092114,Visakhapatnam,,done,,
10,VMRDA INS Kursura Submarine Museum,83.3300952,17.7172461,Visakhapatnam,,,,TA
11,TU 142 Aircraft Museum,83.3298606,17.717986,Visakhapatnam,,,,
12,Sea Harrier Museum,83.3282646,17.7172001,Visakhapatnam,,,,
13,Indira Gandhi Zoological Park,83.3441899,17.7688115,Visakhapatnam,,,,
14,Dolphin's Nose Lighthouse,83.2925877,17.676469,Visakhapatnam,,,,
15,Yarada Beach,83.26923,17.6549368,Visakhapatnam,,,,
16,Victory At Sea War Memorial,83.3322376,17.7186785,Visakhapatnam,,,,
17,Tenneti Park Beach,83.3505528,17.7476576,Visakhapatnam,,,,
18,Thotlakonda Ancient Buddhist Site,83.4091744,17.8285111,Visakhapatnam,,,,
19,Mudasarlova park,83.2991482,17.7629382,Visakhapatnam,,,,
20,ALL INDIA TOURIST PLACES INFORMER,83.3066745,17.7228928,Visakhapatnam,,,,
21,Bojjanna Konda & Ligala konda at sankaram,83.0160011,17.7103165,Visakhapatnam,,,,
22,Devipuram,83.0830523,17.7653782,Visakhapatnam,,,,
23,Kondakarla Ava,83.0008333,17.605,Visakhapatnam,,,,
24,Nookambika Temple,83.0108402,17.6809494,Visakhapatnam,,,,
25,Sri Kanaka Maha Lakshmi Temple,83.2972108,17.6996722,Visakhapatnam,,,,
